,Question,Answer
3962,This sounds like a hernia. You have to-you-you go to the doctor!,"No way! 'Kay look, if I have to go to the doctor for anything it's gonna be for this thing sticking out of my stomach!"
3963,That's a hernia.,Why did I have to start working out again? Damn you 15s!
3964,"Hey, will you grab me a cruller? Sit down! Will you go to the hospital?!","Dude! Hernia operations cost like, a lot probably. Besides it's getting darker and more painful, that means it's healing."
3965,I will loan you the money. Just go to the hospital and let's just get that thing...pushed back in.,"Thank you, but it would take me forever to pay you that money back and I don't want that hanging over my head. Okay? Besides, as soon as my insurance kicks in I can get all the free operations I want! Yeah, I'm thinking I'll probably start with that laser eye surgery too."
3966,Hey.,Hey!
3967,"Oh Joey's got a really bad hernia, but that's nothing a little laser eye surgery won't fix!","Look, I'm telling you if I put my hand on my stomach right here it doesn't hurt that bad."
3968,Hey! Maybe you'll die!,"Sure, now I'm scared."
3969,"No, we can go together! Just don't wait too long though, okay? 'Cause I'm outta here sometime before Friday.","Yeah, but I don't wanna die!"
3970,Whenever you're ready.,"""Okay. """"Hey, Timmy, I've got a surprise for you."""""""
3971,"Hold it. I'm sorry, the surprise is a new swing set, if you could play it a little less...intense?","""Oh yeah, sure, no problem, I'll just-hold on one second. """"Hey Timmy, I've got a surprise for you!"""""""
3972,,So that's why I feed my dog Purina One! Pick up a bag today!
3973,That's where you pick up the bag.,Exactly.
3974,"No, the line is pick a bag, so you need to pick up the bag.","Or, I could just point to it! Huh? Blah, blah, blah, Purina One, point to a bag today. I didn't get it, did I?"
3975,No.,"Yeah, okay."
3976,,Hi. I'm Joey Tribbiani; I'm here to audition for man.
3977,You mean dying man?,Yes!
3978,"Listen, I'm really glad you got the part.",Thank you.
3979,But are you sure you can do this?,"Yeah! And hey, thanks for coming with me. And thanks again for helping me take a shower."
3980,"Now, is that never talking about it again?!",Hiya!
3981,"Hey Joey, we're ready for ya! Joey, this is Alex he's going to be playing your son.","Hi Alex! And uh, as you can see my hands are not in my pants."
3982,And Action!,"""""""Take could care of your Momma son."""" """"Take could care of your Momma son."""" """"Come on son! Your Momma's good people!"""""""
3983,All right! Let's try this again! You ready Joe?,"Ah, just one thing umm, is it all right with you if I, if I scream right up until you say action?"
3984,Uh sure.,Okay.
3985,Action!,"""""""Take good care of your Momma son."""""""
3986,Have you really done this before?,"Yeah! Yeah! Yeah! You just take a big, big swing. Now, don't hold back. and Phoebe picks up a wooden baseball bat and starts to swing as Chandler and Monica enter.)"
3987,Hey!,Hey-hey-hey!
3988,,"Oh! Hey, somebody left their keys. Ooohh, to a Porsche! Hey Gunther, these yours?"
3989,"Yeah, that's what I drive. I make four bucks an hour, I saved up for 350 years!",Na-uh! Hey did anybody lose their keys?
3990,"Joey, why don't you put them in the lost and found?",There's a lost and found? My shoe!
3991,You left a shoe here?!,"Well, I didn't realize until I got home. I wasn't gonna walk all the way back down here with one shoe! Y'know what? I'm gonna go find that guy's car and leave a note on the windshield."
3992,"Oh good, when he comes back for his keys, I'll be sure to give him your shoe.",Great! Thanks.
3993,Nice car!,"Yeah, it's not mine."
3994,I love your car.,"Yeah, it's mine."
3995,I bet it's fast.,"Me too! Yeah. And comfortable. Do uh, do you like leather seats?"
3996,Yeah!,It's got 'em!
3997,Yeah? Well this is not what I ordered.,Hey guys!
3998,Hey!,"Hey babies! Oh, I'm having the best morning. That uh, that Porsche I've got the keys too, still there!"
3999,Shocking! Since you still have the keys.,"You should see the treatment I get when I'm with that car! People are friendly; they-they wanna talk, and not just about the car! One guy gave me advice about my equity investments."
4000,What equity investments?,"The ones that got me the Porsche! Will you keep up! But I figured, if-if people keep seeing me just standing there, they're gonna start to think that I don't own it. So I figured I'll wash it. Right? Monica, you got a bucket and some soap I can borrow?"
4001,,"Yeah, she tops out at 130."
4002,Wow!,And that's just in the city. I get her up to 160 when I take her upstate.
4003,Really! You got a place upstate?,Sure!
4004,"Well, I'll see you later.","Okay, take it easy."
4005,Hey! That's my car.,"Really? Oh uh, oh just give me five more minutes with it."
4006,What-what are you doing?,"Oh I-I uh, found the keys and now I'm just polishing her up."
4007,But it's my car!,"Yeah, but it's my wax."
4008,"Listen, I-I-I don't come to this city much so I don't know if you're crazy or this is some kind of street theater, but could I have my keys.","Sure. Here. I'll uh, save your parking spot."
4009,I'm not coming back.,Why not?
4010,I live upstate.,"Yeah, so did I."
4011,,So the Porsche guy took his car back.
4012,But you found the keys to his clothes?,"No. No, I just uh, I just loved the way it feels when everybody thinks I own a Porsche."
4013,And people will think you own a Porsche because you're wearing the clothes?,Of course! Only an idiot would wear this stuff if you didn't have the car! Right?
4014,"Yeah, but only a genius would swallow a sonic blaster gun.","Oh, I've been there. Yeah, I am gonna go drive my Porsche."
4015,"Joey, you know you don't actually have one.",Come on! What are you doing?! I'm in character! Would you talk to her!
4016,,Why isn't that valet back with my Porsche?
4017,Maybe because you've got the keys?,Porsche.
4018,That was the only way I could get him to stop typing!,Hi! How are the Gellers?
4019,The judge wouldn't let us get an annulment! Now we gotta get a divorce!! Did a Porsch throw up on you?,Hey! It's Porsche!!
4020,,Hey! Hey! Be careful around my Porsche!
4021,Hi Joey.,Hey! How you doin'?
4022,He has the most amazing Porsche under there!,"I'd love to show ya, but I just tucked her in. She's sleeping. Hey uh, would you two girls like to go for a drink?"
4023,"Okay! Listen, I'm gonna be moving out so you will be in charge of paying the rent.",Right! And when is that due?
4024,First of the month.,And that's every month?
4025,"No, just the months you actually want to live here.",Ahhh.
4026,"Okay, here is the phone bill.",Oh my God!!
4027,"That's our phone number. Now look, I know I kinda sprung this whole me moving out on thing, so why don't I just-why don't I just cover you for a while?",No-no! No way! Joey Tribbiani does not take charity...anymore.
4028,"It's not charity, Joe...","No! Forget it! Okay-I mean thanks, but I'm done taking money from you. All right, I can take of myself. Now, what's next? Come on."
4029,"Okay uh, here's the electric bill.",This is how much we pay for electric?!!!
4030,,Hey!
4031,"Whoa-whoa-whoa, Knicks season opener tonight. I thought maybe you guys would come over and watch it.","I don't know Ross, not if you're gonna talk about how you gave up a career in basketball to become a paleontologist."
4032,Why not?,I've got Ben.
4033,,Here it is! Our last pizzas together as roommates.
4034,"Oh, I wish I'd know you were going to do that, I ordered Chinese.","Oh that's okay. Hey, actually in a way it's kinda nice. Me, bringing the food of my ancestors, you, the food of yours!"
4035,"Say, Joe, I had a strange idea of what we could do for our last night. What do you say we play a little uh, foosball for money?","What, are you crazy? You haven't beaten me once since my injury plagued '97 season. It would be easier if you just give me your money."
4036,Yes it would. What do you say to $50?,"Okay, you're on."
4037,,Yes! I win again! Ha-ha! That's like 500 bucks you owe me! Whoo-ho-hoo! $500 that is a loooot of electricity! Whoo-ho-ho! I gotta buy some food.
4038,"Okay, give me a chance to win my money back. Okay? Sudden death, one goal, $1,000.",You serious?
4039,Oh yes!,"Okay, get ready to owe me!"
4040,Okay.,"Okay, here we go. Ready?"
4041,Still broken?,"This sucks man! The last night you're here and I lose the two most important things in my life, the foosball table and $500."
4042,"Well, there are other ways of winning back your money, how about a little uh, a little Blackjack?","Nah, not my game."
4043,"Okay, uh, how about, how about-y'know what? We could play a new game. A new game, it's fun.","Well, what's it called?"
4044,Cups.,I don't know how to play Cups.
4045,"I'll teach ya! Come on, come on, it's really easy and really, really fun.",All right.
4046,"Okay, here you go. I have two queens, what do you have?",A two and a five.
4047,"Ho-ho, you win! 50 dollars!",Really?!
4048,"Oh yeah! Okay, let's play again. What do you got?",A four and a nine.
4049,You're kidding right?,No. Why?
4050,Well that's a full cup!,Damn! I am good at Cups!
4051,You win.,"Well, what did you have?"
4052,"It doesn't matter because nothing beats a three and a six. That my friend is D-Cup. Okay, now much have you won so far?","Uh, wow, 700."
4053,Not 700 exactly?,Yeah.
4054,Double it!,What?
4055,"Well you see in Cups, once you get $700, you have to double it.",Really?
4056,,Hey!
4057,What's wrong?,"Ross and I were helping the girls pack, took a little break, I lost $1,500 to him in Cups!"
4058,Wh-How did you lose at Cups?!,"The same way you lost. I started out with a King and a Queen, bamn! Ross gets a 2 and a 3. Then I get a Jack and a King, boom! Ross gets a 4 and a 5! Ross was getting the Cup card, the D-Cup, the Sittin' Down Bonus! Meanwhile, I didn't even get half a cup! Nothin'!!"
4059,Oh man!!,"And he never played before either! Y'know what I think? I think beginner's luck, very important in Cups."
4060,"All right, let's play one more hand! One more!","No, no, no more! I cannot lose another dime! I'm serious this time! In-in fact, look, there's a-I wanna give you something. And let me give it too you know before I pawn it for Cups money. Now, I want you to have the big white dog as a kinda of a, y'know, thank you for being such a great roommate."
4061,I can't take the big white dog! You love it!,"It's him, not it!"
4062,"No, but wait-what if I bought it from you, y'know? And your nice gesture would be giving it to me at a reasonable price, say $1,500?","Wait a second, I see what you're trying to do here! You-you're trying to give me money again!"
4063,When did I try to give you money?,"""Over there! Before, with the bills! You tried to give some charity, I said """"No,"""" you dropped it. Okay? Then we had a nice last night together, we had some fun, we gambled, nobody tried to give anybody any money! Now out of the blue, you start with the charity thing again!"""
4064,I'm just trying to help you out! Okay? I wanna make sure that you're okay.,"I will be okay! Look Chandler, you gotta get it out of your head that I can't take care of myself. Okay? Look, I'm not gonna miss you helping me out with money. The only thing that I'm gonna miss...is you. And now the dog."
4065,,"Hey everybody! Uh, I'd like you to meet Janine. She's-she's gonna be my new roommate!"
4066,Hi,"Yeah, she's gonna live with me!"
4067,Lecroix. Janine Lecroix,"I didn't know that! Well, what a pretty last name!"
4068,"Australia, I just moved here a couple of weeks ago.",From the land down under? I didn't know that either!
4069,I'm a dancer.,You're a dancer? She-she's a dancer!
4070,"Well, I think I'll go and unpack.","Oh, hey let me."
4071,"Joey, did you even interview this woman before you asked her to move in?",Of course I did.
4072,"Uh-huh, what exactly did you ask her?","""""""When can you move in?"""""""
4073,"Hey, look at all the boxes!","Ugh, I cannot wait to ask her out!"
4074,"All right, think about it. Now remember when you were going out with that girl Donna and you guys broke up. Remember how horrible it was when you guys bumped into each other at the supermarket?","Oh God, yeah."
4075,Now imagine you live at the supermarket.,Okay!
4076,No-no,"Oh, Oh, you're right! I don't want that. I can't date her!"
4077,"Yeah and you better watch the flirting too, cause you know, in such close quarters, it could be trouble.","Well, that's gonna be tough Mon. I mean it's hard for me to be around an attractive woman and not flirt."
4078,"Hmm, well you're around me all the time and you don't flirt.",You a little sad about that sweetheart?
4079,"OK, I'm officially unpacked. Thanks for helping me man. Joe? Well, I guess Joey went home. Oh and look, there's still one box that I have to unpack.",I Gotcha!!
4080,Oh my God! You-almost-gave-me-a-heart-attack.,"Boy, it was so hard not to laugh, I tell ya. Hey, hey, the place looks great!"
4081,"Yeah, not bad right? You know what, Monica's gonna be working late, so I'm gonna make this place spotless. You know what else I'm gonna do, know what else I'm gonna do? I'm gonna go downstairs, I'm gonna get her some flowers. Now who wouldn't wanna live with me?","I don't! No, I wanna live with the super-hot Australian dancer."
4082,"Yeah, now how's that going though? Are you okay with the not-flirting thing?","Yeah. Well, so far yeah. But it's tough you know? I got all this built up flirting energy and I don't know how to get rid of it. How you doin?"
4083,,Ohhhh man
4084,"Sorry, there's just more room out here.","No-no-no-no-no, it's-it's uh, you just uh, uh reminded me that uh, I need to do my stretches too."
4085,Why don't you try to do-,
4086,What's wrong?,Uh-uh nothing. I-I-I-I didn't want you to touch me cause I'm -I'm all sweaty from the workout. I better hit the shower. Oh my God!
4087,"Yes, but the coffee table doesn't match the...blahebdmsdlkhdyslkd;btyds...Rooosss!!!!","Look, what am I gonna do? I'm not flirting but still, I'm drawing her to me like - like a moth to a flame! What the hell's going on over here?!?!? Monica's gonna kill you! Look I need your help, I have to do something to-to repel this woman! Wait a minute, wait a minute, you guys repel women all the time."
4088,,"No-no-no I've seen it happen, you-you get a rapport going with a woman but somehow you manage to kill it. What's your secret?"
4089,That's not specific to girls.,"This is great, this is great, what else, what else?"
4090,"Hey Joey, I got some beer for you.","""Uh, don't you mean """"for whom?"""""""
4091,"Sure, listen I was gonna order some pizza, you wanna share one?","Pizza, heh, its not like I never had that before...ba dum bum cheshhh."
4092,Is there something wrong?,"All right, All right, let's just get this out in the open okay? You're hot. I'm lovable. Clearly there's a vibe going on between us. But, we're roommates and it's a huge mistake for us to continue down this road."
4093,Joey...,"No, no, no, I'm telling ya. Imagine yourself living in a supermarket and you will understand okay? So the question is, what do we do?"
4094,"Well, I don't think there is anything to do. I mean I think you're really sweet, but I'm just not interested in you like that.",Oh!
4095,"No! I mean you're a really nice guy and I'm happy to be your roommate and your friend, I'm just y'know, I just don't feel that way about you.","Oh! I see what happened. It's because I was trying to repel you. Right? Believe me, you'd feel a lot different if I turned it on."
4096,I don't think so.,"Oh, I do. How you doin?"
4097,I'm OK,What?!?!
4098,What?,Oh dear God!
4099,,Hey.
4100,"Hi, my name's Chandler. I just moved in next door and I was wondering if you would be interested in battling me in a post-apoplectic world for control of the galaxies last remaining energy source?","Sure, neighbor come on in."
4101,"So, is Janine around?","Uh, no, she's at dance class."
4102,Can I check out what she did to my room?,"Yeah, but, hey look, don't go through her stuff. She gets really mad."
4103,"Oh my God. What is th... it's like a guy never lived in here. Look, you've got to be careful. This girl thing is dangerous. It's spreading already.",It is???
4104,"Yeah, is this your pretty pink pillow on the couch?",No.
4105,"Is that your tiny little box, that's too small to put anything in?",No.
4106,"No! Ok, this is not good. You are a guy. Ok? This is a guys place. If you let this go, you're going to be sitting around with your fingers soaking in stuff.","All right, you're right. I'll talk to her."
4107,Yes talk to her. Be a man.,I'm a man.
4108,Defend yourself.,Hmm.
4109,Maybe it's a universal thing?,"Or maybe, it's because you're hanging around here at 11:30 on a Wednesday."
4110,Hey Joey.,"Hey. Uh, can I talk to you for a second? This, uh, kid in this picture. Do you, uh, know this kid? Is that like a relative or something?"
4111,"No, I just thought it was cute.","Yeah, that's what I was afraid of.. Okay, uhh...Look Janine I really want you to feel at home here, but some of this new stuff. It's...too girly."
4112,Ohh. Like what?,Like this. Pictures of cute babies we don't know. We..we can't have that.
4113,"Joey, it's Anne Geddes. She's a famous artist.","Look I don't know this baby. I don't know if she's a famous artist or not. You know, and I don't want to be a jerk but you're changing too much around here."
4114,"Well, I'm sorry. I just thought I'd try to make the place a little nicer.","Yeah but it's too much stuff. You know like, you got the candles and the foofy schmoofer thing here and over here you got a picture of a watering can."
4115,Well I just thought...,"I'm sure it's a famous watering can, okay. But, come on...and what is with the really hot stick in the bathroom?"
4116,It's a curling iron.,"Ohh, well, that's ok then. But, okay my towels for instance. I come in to the bathroom here and my towel is not on the floor where keep it. It's up here on some hook..and...smells different."
4117,It's clean.,"Yeah, well, it feels different."
4118,It's dry.,"Alright, I can make my peace with the clean dry towels...Also what is with these chips you bought?"
4119,"No no no no, it's potpourri. You're supposed to smell it.",Well that's like summer in a bowl.
4120,,Hey Chandler. Come on in. We're knitting pot holders.
4121,,"So what's really neat. If you sear the stems of the flowers first in a frying pan, your arrangement will look fresh much longer."
4122,"Okay. Oh but Joey, come over later because I'm going to teach you to make a bird feeder out of just a pine cone and some peanut butter.","Ohh, I love birds."
4123,What is the matter with you ?!?,What?
4124,"You're arranging flowers! You got dead flowers! You got a picture, a picture, of a baby dressed like flowers! This is not Joey!!","Hey. Hey look I am still Joey, okay. Flowers they're just, you know, they're nice to look at. And that happens to be a picture by a famous artist. Of a famous baby."
4125,You're turning into a women.,No I'm not. Why would you say that? That's just mean.
4126,Now I've upset you? What did I say?,"It's not what you said. It's the way you said it....Oh My God, I'm a woman!!!"
4127,Hey.,"Hey, uhh, I need to talk to you."
4128,What's the matter? Are you upset?,"I'm sorry but we've got to get rid of all this girlie stuff in here. I, uh, I got to be a man! Okay. The living room has to remain a guy place, okay? That's just the way it has to be."
4129,"Well, if that's what you want. I'll just put it all in my room.","Great...Great...and thanks for being so understanding. I mean, I didn't want to make a big deal out of this, you know. You could, uh, put the picture of the famous baby in my room. I mean, if you want to."
4130,Okay.,"And, uhh, maybe the watering can there."
4131,Sure.,And a couple of these little tiny boxes.
4132,Joey? Do you want me to put it all in your room?,Okay.
4133,"This is great, another Thanksgiving with nothing to give thanks for.","Maybe I could give thanks for you shuttin' up, eh?"
4134,Maybe I could give thanks by taking my Playstation over to my new apartment.,Well maybe I love ya'.
4135,Are you guys going to Chandler's for Thanksgiving?,"Yeah! Yeah, why? What's up?"
4136,"No, but you should go to Chandler's. Because none of us knows how to cook, we'll probably just end up drinking all day.","Ye-ye, we go to yours!"
4137,,"How you got three women to marry you, I'll never know."
4138,,Hey!
4139,Hey!,"Oh, ooh the food smells great, Mon!"
4140,And the place looks so nice!,"Yeah, hey hey, Happy Thanksgiving everybody!"
4141,Happy Thanksgiving!,"Well, this has been great!"
4142,And who else is going to be there?,"Uh, some of her friends, yeah."
4143,Her dancer friends?,"Yes, all right? All of her hot dancer friends are gonna be there and they're gonna be, be drinkin' and dancin, and we really wanna go!"
4144,"Oh, but-but it is, uh, it's just like the first Thanksgiving, when the Indians and the Pilgrims uh, sat down to dinner.","Yeah, yeah, and the Indians taught the Pilgrims what it meant to be hot in the new world!"
4145,,"Rach, you're killin' us here, will ya serve the dessert already? Those drunken dancers are waiting!"
4146,"""The beef? Yeah, that was weird to me, too. But then, y'know, I thought """"well, there's mincemeat pie,"""" I mean that's an English dessert, these people just put very strange things in their food, y'know. Oh! by the way, can I borrow some Rum from your place?""",Y-sure!
4147,And while I'm gone don't you boys sneak a taste.,Okay.
4148,,"I know, and only one layer of jam?! What is up with that?"
4149,"Oh my God, the pages are stuck together!",Chandler!
4150,"Oh My God, she-she made half a English Trifle, and half a...Sheperd's Pie!",Oh man! Now she's gonna start all over! We're never gonna get to introduce the hot girls to the new world!
4151,"No, no, we will. We just won't tell her she messed up.",Just let her serve the beef-custard thing?
4152,"Yeah, it'll be like a funny Thanksgiving story!",Vomiting stories are funny...
4153,"Joey, God, your apartment is like a hundred degrees!",Did-did it make you wanna walk around in your underwear?
4154,No!,Still not hot enough!
4155,,Will you hurry up? Did you not hear me before when I told you that all of Janine's friends are dancers?! And that they're going to be drinking alot!?
4156,"No, I did, but tell me again, because it's so romantic.",Well you're whippin' so slow! Can't you do it any faster?
4157,"So why don't you just let me worry about making the trifle and you just worry about eating it, alright?",Oh I am!
4158,,Ross! Can I talk to you for a second?
4159,,"Okay, look, I think we have to tell Rachel she messed up her dessert."
4160,"What?! What is with everybody? It's Thanksgiving, not...Truth-Day!","Look, when everyone eats that...that...Banana-Meat thing, they're all gonna' make fun of her, do you want that?"
4161,"Okay, okay, we'll just get everyone to act like they like it. That-that way noone makes fun of her and we still get to go to Sweet Potatoe Pie!","Dude, they're not objects."
4162,,"Just kiddin,' I'll talk to them, you distract Rach."
4163,,"""Oh and Okay, and uh if anyone needs help pretending to like it, I learned something in acting class, try uh, rubbing your stomach or uh, or saying """"mmm"""" and uh, oh oh! And smiling , okay?"""
4164,,"Rachel, there you are! Come on, let's serve that dessert already!"
4165,"Joey, you're gonna have to stop rushing me, you know what? You don't get any dessert.",Really?
4166,It tastes like feet!,I like it.
4167,Are you kidding?,What's not to like? Custard? Good. Jam? Good. Meat? Gooooood.
4168,I wasn't supposed to put beef in the trifle!,I wanna gooooooo!
4169,"Well actually, I-I didn't eat mine. It's still in the bathroom.","No it isn't, I ate that."
4170,Well we left ours in Monica's bedroom.,"Nope, got it and I got yours too."
4171,,Hey you guys.
4172,Hey Joe what's up?,"I had to get out of the apartment. Janine is like stretching all over the place. Y'know, everywhere I look she's like..."
4173,I can see why that's hard to resist.,I like her so much!
4174,"Aw, I'm sorry sweetie that she doesn't feel the same way.",I know. And she's so sweet. I just wanna feed her grapes and brush her hair.
4175,Well they said I should bring someone. Do you wanna be my dance partner?,Totally! I would love to spend New Year's with you.
4176,Bye Janine!,Did she just ask me out on a date?
4177,"Yeah, but she also invited you and Ross. Yeah, honey, I'm sorry, but I don't think that was a romantic thing.","Oh. Maybe. But hey I know how I can find out. We're going to a New Year's Eve party, right? So at midnight, I can kiss her. And if she kisses me back, great! Y'know? But if she says 'Dude, what the hell are you doing?' I can say 'It wasn't me, it was New Years!'"
4178,,"OK, listen I've been on sets before, so let me give you a little advice, alright? It's a show, but we're just dancing, OK? It's no big deal. The important thing to remember &#150; stay cool."
4179,"Uh, yeah. Now you guys dance over there, you guys over there, and I want you two right around here, and everyone else spread out.",Ross! So when is it gonna air?
4180,Hey! You're a good dancer!,Really?
4181,"Yeah, well you'd be better if you just loosened your hips a little.",What do you mean?
4182,"That's it, feel the rhythm. That's better.",Uh-huh.
4183,"Okay, you're dancing with that girl over there.",No-no-no-no-no we came together!
4184,"I don't see it. You are dancing with the tall guy over there. Tall guy, raise your hand!","No-no hey buddy, please let me dance with that girl, I really like her and I think I have a shot."
4185,,Hey-hey dancer girl! Can I go to the bathroom? I just.. Here we go. Looking good Gellers!
4186,,"Hey! Tall guy! Hey, listen, I wanted to talk to you about that girl that you're dancing with."
4187,"She's nice, huh? To think I almost brought my wife to this!","Yeah, yeah, okay. Uh, look buddy, I came with that girl, and I had this plan to kiss her at the new years countdown &#150; I'm trying to win her over, so I was wondering if.."
4188,No I don't think so.,"Oh come on man, you can dance with my partner, she's real, uh, mellow!"
4189,"Look, are you dating this girl you came with?","Well, I was hoping after tonight that maybe I could you know..."
4190,"No, no. She's fair game if you ask me, sorry buddy!","Alright, alright, hey y'know fair is fair, if you're right, you're right, what can I say, but hey oh no!"
4191,"God! What are you, in second grade?","Hey, now you're the one who wet his pants."
4192,What's going on over here?,"Uh, take a look at the guy's pants! I mean, I know you told us to show excitement, but don't you think he went a little overboard?"
4193,What's the matter with you? Get out of here!,"Yeah, take a hike wetpants!"
4194,Alright we're back! Ten seconds left here we go! Ten! Nine! Eight! Seven!,"Okay, it all comes down to this. Whatever happens, happens. Destiny."
4195,Cut!,No! Year! Happy No Year!
4196,,"Home sweet home, huh? Nice to, uh, get back to reality. Plus we know how the New Year's gonna go off. I guess there's no reason for all that Y2K panic, y'know? Anyway, g'night!"
4197,Joey.,Yeah?
4198,"3, 2, 1. Happy New Year.","Oh, yoii. What was that for?"
4199,"Well, I don't know tonight when they yelled cut and we didn't get to kiss, I was really, really, disappointed, and I just, really wanted to kiss you","Really? In the moment, I really wanted to kiss you too. In the moment."
4200,"In the moment, yeah.",But only in the moment. So do ya wanna kiss again?
4201,"Sure, New Year's Eve is only two weeks away. Can you wait?",No.
4202,Me neither.,"3, 2,"
4203,"Joey, you don't have to count down every time we kiss.","Uh, yeah, okay. Except I sorta felt like I needed a couple of seconds to get ready."
4204,,Hey!
4205,Hey!,"Listen, do you guys think I have a chance with Janine?"
4206,"She's made it pretty clear, it is not going to happen.","Well all right then, I guess I shouldn't get to excited about the fact that I just kissed her!"
4207,You kissed her.,Oh we kissed it up real nice.
4208,"So you kissed her, so what happened after that?",I came over here to tell you guys.
4209,I gotta go.,Okay.
4210,I'm gonna be really late for dance class!,Okay.
4211,"Okay, now I'm really late.","Okay, I'm all right, okay, but hey, could you just leave your lips?"
4212,Bye.,Have you kissed her yet? It's awesome! I could do it forever! Y'know what? She-she kisses better than my mom cooks!
4213,"Rach, Phoebe hates Pottery Barn.",I hate Pottery Barn too. They kicked me out of there just because I sat on a bed!
4214,You took off your pants and climbed under the sheets!,I was tired!
4215,"It's gotta be one of a kind. Y'know like umm, y'know uh, what's that God awful ceramic fruit bowl she has on her counter?",Hey! I made that for her!
4216,You made pottery?,Yeah! I made it of this fruit bowl I found in the garbage.
4217,Yeah.,And Chandler I can't believe I let you pay for this one. Thanks man.
4218,Oh that would be great!,"Oh, but hey look, at least let us bring the wine."
4219,"Joey, you don't have too!",Nope-op! I insist! You get the wine right?
4220,"Yeah all right. Okay, good night guys.",See ya tomorrow!
4221,How are we gonna get out of that one?,What?
4222,I can't handle two nights in a row with them.,What-what's wrong with Monica and Chandler?
4223,"I don't know, they're just a little blah!",Blah?!
4224,"Well y'know, he's blah, she's just-she's very loud for such a small person.","Uh, they're like my best friends. Are you saying we can't hang out with them? 'Cause that would kinda be a problem."
4225,"No! Of course we can still hang out with them. Just y'know, not two nights in a row. Okay?",I guess.
4226,Thank you.,"If you want, I'll sell my friends and use the money to buy you presents."
4227,Hey!,Hi!
4228,"And here is the bottle of wine for you to bring over tonight. You were also going to buy Monica flowers but you couldn't afford it, because you paid dinner last night.","Thanks. Thanks, but uh actually it's just gonna be me again tonight."
4229,What happened to Janine?,"Oh, she's uh-uh really sick."
4230,Oh that's too bad.,"Yeah, she's been in there all day , uh high fever, a nose problem... Phlegm! Phlegm! Phlegm-phlegm-phlegm!"
4231,Monica! Chandler! I'm really-really sorry about tonight. I don't know if Joey told you; I just couldn't get out of going to this play. I'm sorry. Have a great time.,'Kay!
4232,,"No-no, she really is sick!"
4233,Then why-why is she going to a play?!,"Uh, y'know, starve a fever, go to a play for a cold."
4234,Joey! Why is Janine not coming over for dinner?!,"Well uh, she didn't want to hang out with you guys two nights in a row. I'm so sorry."
4235,"Well, why does she not want to hang out with us?!","Because she uh, she-she thinks that you are blah and that you, Monica, are too loud."
4236,"And I am not blah, I am a hoot!","I know! I know! Come on, please-please you guys, don't-don't be mad. I'm sure she just, she just said that stuff because she was nervous and you guys are like my best friends! Y'know? And it was our first date! Plus, she's really sick!"
4237,"No, you sh-No you said you made that up!!","I know, but don't you think the sick thing is way better than the play thing?"
4238,"Eh, they're both good. I generally just go with, Monica's drunk again.","Come on you guys, come on please-please just give her another chance, huh? She'll come around I promise."
4239,I do not like that woman!,I can hear you!
4240,I know!!!,Hey!
4241,Hey.,"So uh, what are you guys doing?"
4242,"Oh nothing, we're just talking. Y'know, blah-blah-blah.","Look, come on you guys, you said you were gonna try! All right look, I came over here to invite you guys to a movie with me and Janine."
4243,"Well, I'd like to but, I'm not sure we have time to go.","Ha-ha, very funny-Look! I don't know what to do! I really want you guys to get along. Just please come to the movie with us. I mean you owe me!"
4244,We owe you?!,"That's right! I helped you guys out a lot in the start of your relationship. Huh? I helped you guys sneak around for like six months, and I looked like an idiot! And I was humiliated. And I only made 200 dollars!"
4245,We didn't give you any money!,You don't think I know that!
4246,,"Well, this-this-this was great. Didn't everybody have a great time?"
4247,Oh good.,"Oh well then, good night!"
4248,,"See? Eh, wasn't that fun?"
4249,All right! You and me! Let's go! Right now!,All right! All right! Enough! Enough! Enough!! Enough! You two go home! I-I-I gotta talk to Janine!
4250,You'd better hope I don't see you in the hallway!!,"All right, uh, we've got a little bit of a problem here. These people are my friends; you can't treat them that way."
4251,"They said stuff to me too, y'know!","I know! I know! And I'm going to talk to them about it. They mean so much to me. They... They're like my family. If you guys are gonna be fighting all the time, I-I... I don't think we can be together. It just, it just can't work. It can't. I'm very upset."
4252,"Okay. Okay. Would, would it help if I went over and apologized?",Yeah! Yeah! That would be very helpful! Yeah.
4253,Did you hear that?,"Yeah uh, what am I gonna do?"
4254,"Yeah, I'm sorry man. You wanna go watch?",Yeah!
4255,Hey!,How ya doin'?
4256,"Hey so, did uh, did she move out?","Pretty much, yeah."
4257,I cannot believe you broke up with her just like that.,"Well, when it's not right, you know it."
4258,You okay?,Yeah! Yeah. I'll be all right.
4259,Y'know what would cheer you up?,What?
4260,"I'm giving this lecture on erosion theories tomorrow night, I think you should come.",You're right! That did cheer me up!
4261,"Yeah, I guess.",Hey guys.
4262,It's my joke.,"Whoa-whoa-whoa. Jokes? You guys know they have naked chicks in there, right?"
4263,"Dude, you have got to turn on Behind the Music. The band Heart is having a really tough time, and I think they may break up.",Let's go watch it at your place.
4264,"Nah, Monica's watching some cooking show. Come on, I don't want to miss when they were skinny.","Chandler, Chandler, y'know what we should do? You and I should go out and get some new sunglasses."
4265,"What? No, I want to watch this. . Did your cable go out?","No, that's VH-1. I gotta tell you, the music these kids listen to today . . . It's like a lotta noise to me. I don't know..."
4266,"Joey, why is your cable out?","I uh, oh! Because, uh, I haven't really paid the bill"
